name,searches
education,trainer;instructor;professor;teacher;lecturer
analysis,analyst;analytics;analysis
devops,devops;development operations
cartography,cartographer;cartographic;cartography
remote-sensing,photogrammetry;remote sensing;image science;spectral;imagery scientist
postdoctoral,postdoctoral;phd
research,research;researcher
internship,intern;internship
entry-level,fellowship;fellow;entry level
management,manager;mgr;supervisor
database-administration,database administrator;dba;database administration
data-science,data scientist;data science
data-engineering,data engineer;data engineering
software-engineering,software engineer;software engineering
web-developer,developer;programmer
planning,aicp;planning;planner
sales-marketing,sales;marketing
surveying,surveyor;surveying
coordinator,coordinator
consultant,consultant,
CAD,autocad
other,